file,line,type,commit,author,date,time,timezone,datetime,depth,length
style.css,178,css,c6264c4d,ashleyychu,2025-02-07,23:44:20,-08:00,2025-02-07T23:44:20-08:00,0,0
style.css,179,css,c6264c4d,ashleyychu,2025-02-07,23:44:20,-08:00,2025-02-07T23:44:20-08:00,0,10
style.css,180,css,c6264c4d,ashleyychu,2025-02-07,23:44:20,-08:00,2025-02-07T23:44:20-08:00,0,36
style.css,181,css,c6264c4d,ashleyychu,2025-02-07,23:44:20,-08:00,2025-02-07T23:44:20-08:00,0,0
style.css,182,css,c6264c4d,ashleyychu,2025-02-07,23:44:20,-08:00,2025-02-07T23:44:20-08:00,0,11
style.css,183,css,c6264c4d,ashleyychu,2025-02-07,23:44:20,-08:00,2025-02-07T23:44:20-08:00,0,18
style.css,184,css,c6264c4d,ashleyychu,2025-02-07,23:44:20,-08:00,2025-02-07T23:44:20-08:00,0,0
style.css,185,css,15dca86f,ashleyychu,2025-02-16,00:08:38,-08:00,2025-02-16T00:08:38-08:00,0,0
style.css,186,css,15dca86f,ashleyychu,2025-02-16,00:08:38,-08:00,2025-02-16T00:08:38-08:00,0,0
style.css,187,css,15dca86f,ashleyychu,2025-02-16,00:08:38,-08:00,2025-02-16T00:08:38-08:00,0,0
style.css,188,css,15dca86f,ashleyychu,2025-02-16,00:08:38,-08:00,2025-02-16T00:08:38-08:00,0,0
style.css,189,css,15dca86f,ashleyychu,2025-02-16,00:08:38,-08:00,2025-02-16T00:08:38-08:00,0,18
style.css,190,css,15dca86f,ashleyychu,2025-02-16,00:08:38,-08:00,2025-02-16T00:08:38-08:00,0,13
style.css,191,css,15dca86f,ashleyychu,2025-02-16,00:08:38,-08:00,2025-02-16T00:08:38-08:00,0,37
style.css,192,css,15dca86f,ashleyychu,2025-02-16,00:08:38,-08:00,2025-02-16T00:08:38-08:00,0,9
style.css,193,css,15dca86f,ashleyychu,2025-02-16,00:08:38,-08:00,2025-02-16T00:08:38-08:00,0,14
style.css,194,css,15dca86f,ashleyychu,2025-02-16,00:08:38,-08:00,2025-02-16T00:08:38-08:00,0,0
style.css,195,css,15dca86f,ashleyychu,2025-02-16,00:08:38,-08:00,2025-02-16T00:08:38-08:00,0,0
style.css,196,css,15dca86f,ashleyychu,2025-02-16,00:08:38,-08:00,2025-02-16T00:08:38-08:00,0,18
style.css,197,css,15dca86f,ashleyychu,2025-02-16,00:08:38,-08:00,2025-02-16T00:08:38-08:00,0,11
style.css,198,css,15dca86f,ashleyychu,2025-02-16,00:08:38,-08:00,2025-02-16T00:08:38-08:00,0,17
style.css,199,css,15dca86f,ashleyychu,2025-02-16,00:08:38,-08:00,2025-02-16T00:08:38-08:00,0,0
style.css,200,css,15dca86f,ashleyychu,2025-02-16,00:08:38,-08:00,2025-02-16T00:08:38-08:00,0,0
style.css,201,css,15dca86f,ashleyychu,2025-02-16,00:08:38,-08:00,2025-02-16T00:08:38-08:00,0,18
style.css,202,css,15dca86f,ashleyychu,2025-02-16,00:08:38,-08:00,2025-02-16T00:08:38-08:00,0,11
style.css,203,css,15dca86f,ashleyychu,2025-02-16,00:08:38,-08:00,2025-02-16T00:08:38-08:00,0,9
style.css,204,css,15dca86f,ashleyychu,2025-02-16,00:08:38,-08:00,2025-02-16T00:08:38-08:00,0,18
style.css,205,css,15dca86f,ashleyychu,2025-02-16,00:08:38,-08:00,2025-02-16T00:08:38-08:00,0,0
style.css,206,css,15dca86f,ashleyychu,2025-02-16,00:08:38,-08:00,2025-02-16T00:08:38-08:00,0,0
style.css,207,css,15dca86f,ashleyychu,2025-02-16,00:08:38,-08:00,2025-02-16T00:08:38-08:00,0,16
style.css,208,css,15dca86f,ashleyychu,2025-02-16,00:08:38,-08:00,2025-02-16T00:08:38-08:00,0,20
